did,handle,avatar,description,display_name,created_at,indexed_at,followers_count,region
did:plc:sevc42ohl4nfeer2tf6wxbl4,mariopinof.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:sevc42ohl4nfeer2tf6wxbl4/bafkreidsjmjriapi6x2r4mwlmk3j2nd5xxyzcmjhhztoedxeaknrkjqljq@jpeg,Chilean | Politics & Poetry | Midwest Supremacist | Ph.D. Student. Poli-Sci at UW-Madison | “Toda la belleza del mundo puede ser venda para tu herida” G. M. | www.mariopinoflores.com,Mario Pino Flores,2024-11-22T05:10:05.816Z,2024-11-24T21:36:07.808Z,80,
did:plc:74vqteppw2cwyn6dyrkw7ren,handletoolong7.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:74vqteppw2cwyn6dyrkw7ren/bafkreifu6ze7b3dpl2ndyuagtj7pcepliaaj5dhxsrci2d6imdz3n6lbyi@jpeg,They/He,Wretched Peddler of Leftism Supreme,2024-11-24T11:53:58.608Z,2024-11-24T15:52:38.209Z,230,
did:plc:2wpuqcd4ioacdrctsbrevnbp,megvr.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:2wpuqcd4ioacdrctsbrevnbp/bafkreih7l7tkp2qv7pyxq4gl226cpjt2jpoi2qu2jqibv2n4w7mrbtmkay@jpeg,All things debt policy and politics,Meg van Rooyen,2024-08-12T19:55:39.107Z,2024-11-23T11:21:07.008Z,177,
did:plc:6rh2pfcr4drjfwov2hkv2rb6,isdcberlin.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:6rh2pfcr4drjfwov2hkv2rb6/bafkreidd5b2vgxx3mu6nwd52t6x3jodu5jymv4kgzwoen4dgoq3lkblvni@jpeg,"ISDC – International Security and Development Center is a non-profit academic institute based in Berlin, Germany. 

We conduct research to improve lives and livelihoods shaped by violent conflict, fragility and humanitarian emergencies.",ISDC - International Security and Development Center,2024-11-18T07:20:41.986Z,2024-11-18T07:49:46.187Z,45,
did:plc:vbkcrwqmjm26d2zlg72dn5am,nwforeurope.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:vbkcrwqmjm26d2zlg72dn5am/bafkreib5tguwqaikfgxxquzx24qobypqwyff3bifye5uyjo25aa3v3ofs4@jpeg,"N Wales branch of Wales for Europe. Cangen Gogledd Cymru , Cymru dros Ewrop.",North Wales for Europe  Gogledd Cymru dros Ewrop,2024-11-15T20:08:21.158Z,2024-11-26T22:38:15.309Z,729,
did:plc:2xqec4mkyggk7llqzqojfoey,lizff.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:2xqec4mkyggk7llqzqojfoey/bafkreih4zovspfxhwmtdoftapkndome6ww3dibyegadfu3wudyqhoqqfbu@jpeg,"Media researcher/educator. Here for animals, politics & good stuff to read.",,2024-11-12T12:41:31.838Z,2024-11-12T13:13:58.838Z,59,
did:plc:ek2p2i644ye3r7tb6laxmpak,biancalunafabris.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ek2p2i644ye3r7tb6laxmpak/bafkreicjgc5k2jc4j4ozchtetwbvvxb6g4ilu2rm7wnfjrmp5jc53fkaxy@jpeg,"Researcher at the European Trade Union Insitute (ETUI) & PhD-ing at the University of Edinburgh 

Comparative social policy, politics of welfare state reforms, climate change and trade unions 

Views are my own",Bianca Luna Fabris,2024-11-20T10:59:50.803Z,2024-11-21T07:47:40.633Z,821,
did:plc:bmewazivipaefaarg3ebr7kq,jakobkramers.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:bmewazivipaefaarg3ebr7kq/bafkreiay5uviiaebqmyg4i2drtwuvv4d2kkgzkn4cqj7gczesfobnm25fm@jpeg,"Europeanist, denizen of Deventer, day job in The Hague. Opinions strictly my own.",Jakob Kramers ,2023-10-25T16:41:44.025Z,2024-01-26T02:34:19.830Z,254,
did:plc:gxfhzsx4nv5wksuw37zvb7q2,clarenic.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:gxfhzsx4nv5wksuw37zvb7q2/bafkreiaijzsinpqdznusrrrd6aurqf3tegun4ajdevvmgzcb5qbkbtouga@jpeg,,,2024-09-24T00:07:03.545Z,2024-09-24T00:07:03.545Z,16,
did:plc:7t2iueljk2bzxf6d2rcdhg7r,chrisferris3.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:7t2iueljk2bzxf6d2rcdhg7r/bafkreifn5ajosfcjxd3hzndghcs7zuyjmiqiy34umgl55cg3lzm3ykrhnu@jpeg,"Economist. Consultant at InterGroup.  Interested in improving urban areas: better housing, mass transit, & goods flow efficiently. #cdnecon #Economics #Winnipeger #cdnag #R #spatialanalysis #Canada #EconomicDevelopment #LabourEcon #energyTransition",Chris Ferris,2024-11-07T14:43:26.118Z,2024-11-25T20:00:49.008Z,312,
did:plc:wz4mt7exxtcgp5rgs7jur3uq,lucygjwhite.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:wz4mt7exxtcgp5rgs7jur3uq/bafkreiend4ri7ylcoooupr6zff5ydkygaxweo3oj3ojbn2x3obvklrgjoe@jpeg,"UK politics/economics correspondent at Bloomberg covering trade and migration. Formerly Chief City Reporter at Daily Mail.
Notts gal landed in London. Otherwise found foraging 🌱🍄‍🟫",Lucy White,2024-11-26T14:41:25.908Z,2024-11-26T16:47:33.107Z,76,
did:plc:wk2zftza5kenzicb6lowyjn5,sigmalibra.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:wk2zftza5kenzicb6lowyjn5/bafkreig7sy3r76tiirrgb24aah6qlmzzhjpwjny6aesb4n45df2lyzilzy@jpeg,"🇨🇭-🇺🇸
Reverse-hipster, jumping on every bandwagon that's just been vacated #digitalnomad #minimalism #barefootrunning #womenintech",sigma libra,2024-11-17T00:05:17.882Z,2024-11-26T13:19:45.408Z,17,
did:plc:32lxlkxe7n33spnehwnaq4r3,carloucu.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:32lxlkxe7n33spnehwnaq4r3/bafkreihrtvfqivhjmlj5izxgvlrvgbhuay7n4t3wumsurx7r3rghtvkj4i@jpeg,,,2024-11-16T18:35:51.615Z,2024-11-16T18:35:51.615Z,73,
did:plc:762l37ls2hwarkezyzqjapev,sbrazys-ucd.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:762l37ls2hwarkezyzqjapev/bafkreie7roac26bd3efd6wejkwzqbdi25f2pvfslhs5pkqmyoss2knvipm@jpeg,"Semi-pro feed. Associate Professor and Vice-Principal Research, Impact and Innovation at University College Dublin, focusing on Aid, Trade, and Development. Editor Journal of International Development.",Sam Brazys,2024-11-19T12:35:38.737Z,2024-11-27T17:05:09.909Z,257,
did:plc:sezmutzeis5cly77z3ua3mve,remiedwards.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:sezmutzeis5cly77z3ua3mve/bafkreia7ezr7hkryijns5wtxzyxnyyqrf3vs2g7fxeqmcm3qelwz57xiou@jpeg,"Research & Impact Associate at SPERI, University of Sheffield

Researching labour, consumption, supply chains, governance, race, agency, capitalism

Hosting SPERI Presents... New Thinking in Political Economy
open.spotify.com/show/6zpmfHjF",Dr Remi Edwards,2024-11-14T13:33:07.666Z,2024-11-18T14:01:05.181Z,76,
did:plc:ul6mfjisj3agbfe3kmtav6pc,sperishefuni.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ul6mfjisj3agbfe3kmtav6pc/bafkreihgagygdnb7fu764cojvtzigrbz2rm7w3lqgwh2xuoazbyydvfony@jpeg,"SPERI develops and promotes new analysis and understanding of the major economic and political challenges arising from contemporary capitalism.

Blog: https://speri-blog.sites.sheffield.ac.uk

Podcast: https://sheffield.ac.uk/speri/podcast",Sheffield Political Economy Research Institute,2024-11-26T11:49:20.808Z,2024-11-26T12:03:57.709Z,124,
did:plc:5vee6fhyur63kaytb6iksf4g,two-30.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:5vee6fhyur63kaytb6iksf4g/bafkreic7wqiuccdofvkhdszobp552kgzcbl2d2ylnjip4mf6zagn4ifqku@jpeg,"Lefty, oldie, daddy…",,2024-11-15T12:30:36.961Z,2024-11-21T07:39:17.033Z,16,
did:plc:a2qt6s5aq2o5qh34uikxehxk,dox96.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:a2qt6s5aq2o5qh34uikxehxk/bafkreici7v7awvmwll6j45kllpagta63qukny6llisloopah64x45e7vti@jpeg,,,2024-11-16T23:00:06.958Z,2024-11-16T23:00:06.958Z,11,
did:plc:b34eqpbgsjqzgik2sg7fdrqr,aliceeleanor1.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:b34eqpbgsjqzgik2sg7fdrqr/bafkreif6lrmy7wpesgxmgshnwqu6yyo6nf5dlufpc44va4uoiabneqs5ky@jpeg,,,2024-11-25T12:46:16.608Z,2024-11-25T12:46:16.608Z,68,
did:plc:woeqyml3xwnisjlcmdxmeijp,josesa.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:woeqyml3xwnisjlcmdxmeijp/bafkreifoaxpl2fry2xkxo5w4fr3oyvsz57ehocpnjwq33v3lmlez7hrpty@jpeg,,,2023-07-04T17:23:28.219Z,2024-01-26T00:42:21.746Z,207,
did:plc:jsiucu6kh42w6yacxf2pmcro,beanabadger.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:jsiucu6kh42w6yacxf2pmcro/bafkreiedvvwdbuhocmv7cbb76hfss4iz5jpzi6bwnmjwem4v2iw4nd6o7q@jpeg,,,2024-11-13T19:09:28.608Z,2024-11-13T19:09:28.608Z,19,
did:plc:qyt6zb5d5udbxyz3orvaivik,wh00sh.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:qyt6zb5d5udbxyz3orvaivik/bafkreid2k27c2hatabd55stigwvtvj4ahs6wio5bszt3jssoshno4wvnvq@jpeg,"Dual US/Australia citizen, vote in Maryland & Queensland. Activist, organizer at Democrats Abroad, XR, among others.",wh00sh,2023-09-22T06:01:09.193Z,2024-11-11T15:45:11.417Z,127,
did:plc:pmuwdrgz6cw5ulriwn6fye2i,drysand.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:pmuwdrgz6cw5ulriwn6fye2i/bafkreigsuomocgotfpqmjzc43yobcq53wxpu6nhtnviojdaotduwpp4pke@jpeg," 🎯 Former listed company executive 
 🧘‍♂️ Technical Writer 
☕ Founder of a technology company

*Monthly macbook tool recommendation*
Everything Locator - Effortless File Searching
https://apps.apple.com/us/app/everything-locator/id6738372209?mt=1",Drysand Xian 🥎⚽️,2024-11-11T02:10:51.311Z,2024-11-27T03:08:25.409Z,454,
did:plc:rlnlrkcd742oxmnqoxp4xvl2,ibode.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:rlnlrkcd742oxmnqoxp4xvl2/bafkreibs4trzllzchsenljgkptlff4qeyjvv7m3j2io3tt7ifgeir6de6y@jpeg,"Here to learn and share what I learn. Interests: Climate crisis, European affairs, urbanism, travel by train, cargo bikes, and many more. Posts in German and English.",,2023-10-03T06:36:21.969Z,2024-01-26T02:03:19.691Z,466,
did:plc:dtoospvzjtylkjfq3gcgjr7x,joninjas.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:dtoospvzjtylkjfq3gcgjr7x/bafkreihi7aholsob2u5fc43rruannidrewv4mjmp4ar6ng6u4zdhlkszba@jpeg,"Econ PhD Student at the University of Minnesota, Brazilian 🇧🇷",Jonas Gouveia,2024-08-31T01:31:39.060Z,2024-11-14T06:12:34.516Z,429,
did:plc:eb6q3ducgibykcqjcs3ovsdp,corebrain.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:eb6q3ducgibykcqjcs3ovsdp/bafkreiapqtdxktzgo3wn7lpdkuid527bv23mm775c73sl6qlxmrv2vwxzm@jpeg,Left leaning grandfather.,JustMe,2024-11-14T06:23:52.607Z,2024-11-26T20:50:31.908Z,152,
did:plc:67gz7kb2qiov6hhjmqabrh4f,rileyresearch.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:67gz7kb2qiov6hhjmqabrh4f/bafkreiacczk676mpm63pa67fliaf5aivizjml4rzhdan32wh42jbkjiira@jpeg,"#Impact #place #policy #data #innovation #research & #relationships. Professor/DPVC  West Midlands @City-REDI.bsky.social @lpiphub.bsky.social @uob views my own, sharing not endorsement - sometimes Birmingham and sometimes Manchester (UK) hate the M6.",Bec Riley,2024-08-07T14:08:51.105Z,2024-11-11T23:31:17.340Z,2367,
did:plc:ap42mtzu4xnl2qy7cxj6aga3,gdeejay.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ap42mtzu4xnl2qy7cxj6aga3/bafkreiajy2g3x3622wflprm334yurc2qok36n2vk43akycsyyxk37lzazq@jpeg,"Applied economist working in international development policy
🇹🇴🇸🇧🇻🇺🇫🇯🇦🇺🇲🇲 (etc)

Mostly memes.

Sometimes post about #publicpolicy, research, data science, #PFM and #Rstats

Economist | Independent Consultant | Board Director

All views my own",Giles,2024-09-05T09:52:14.766Z,2024-11-24T05:24:47.508Z,2593,
did:plc:onnf3itxzfe5guskomgjkvco,siddharthjain.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:onnf3itxzfe5guskomgjkvco/bafkreigfclh2kxi3vke4icchzi22fswq4bll5ahlyl2jfjjpw5sbugjcz4@jpeg,"PhD candidate, The Fletcher School, Tufts University | Fellow, Climate Policy Lab | Green Economic Development, Industrial Policy, and Innovation | Opinions my own, to the extent that anyone’s really can be. Except the bad opinions. Those aren’t mine.",Siddharth Jain,2024-11-28T01:30:19.808Z,2024-11-28T07:02:57.607Z,194,
did:plc:zn3444jiod755y63du5jpib3,nickyreynolds.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:zn3444jiod755y63du5jpib3/bafkreiczh3grvntcwjymykocgxk3tzlgitpoegy3xyt4yyafge2w2ds2pa@jpeg,,,2024-11-13T19:21:38.614Z,2024-11-13T19:21:38.614Z,15,
did:plc:v6itjnmqsa6t6x2m42oj546x,epluribusunum76.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:v6itjnmqsa6t6x2m42oj546x/bafkreihyvm4nj4dcq7nbzmleqbsfmvkhhormpi423t7olxohxnv5y3ilmy@jpeg,"Patriotic liberal GenXer
Professional strategy nerd & amateur librarian 
Iraq War veteran
Slava Ukraini! And Foxtrot Tango! 🇺🇸🇺🇦🏳️‍⚧️",,2024-11-27T02:43:45.808Z,2024-11-27T05:06:42.508Z,121,
did:plc:xi7srqii5nj22culk3tbq6yn,pmg380.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:xi7srqii5nj22culk3tbq6yn/bafkreigfskhzgyo5eyrezejl6wzlbjaai2uyx72fsezjp2xpax32bk3lxq@jpeg,Mum. Brisbaneite. Nerd. Gamer. Progressive. Politics. Wear a mask. Listen to Starset. She/her,Peta,2023-12-01T06:53:25.217Z,2024-11-19T11:52:36.738Z,76,
did:plc:ch3gzze5s3nn5vqczje2oad5,edelweissblood.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ch3gzze5s3nn5vqczje2oad5/bafkreichogox4q4jo5vtdraceyx7jryigsyf5wfl5aygjaiqn2ogsxqxxe@jpeg,,word saladin,2024-11-10T03:23:47.313Z,2024-11-10T03:24:32.114Z,289,
did:plc:jm4afbv7p2yxitwvpob27njf,sushiaarushi.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:jm4afbv7p2yxitwvpob27njf/bafkreichgrq2uiowggv3aqkcmjbu2aufyytiwelpxodlrket33um6fwbxm@jpeg,"Asst. Professor of Sociology at Davidson College. Pop culture enthusiast. 🍉

Author of Attention and Alienation: The International Political Economy of ICTs - forthcoming with Columbia U Press.",Aarushi Bhandari,2023-11-19T00:23:54.952Z,2024-11-21T02:30:47.434Z,363,
did:plc:njpw4itkjllk3kdjahnlyraq,paul-bali.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:njpw4itkjllk3kdjahnlyraq/bafkreidlm7ryi4fi6ugvotw5v7iec45l6k5ed35rpst5qt6zi67gw3epl4@jpeg,Political economy etc.,Paul,2023-08-02T20:56:00.817Z,2024-11-24T22:28:38.707Z,32,
did:plc:pk5vrq73xgih2wepszn375s2,skcblue.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:pk5vrq73xgih2wepszn375s2/bafkreieyf7oue44rp5rtx2tt6icnszdg6e5jvxuhw33k3n6dhfwzwx3sni@jpeg,,,2024-11-19T14:30:05.537Z,2024-11-19T14:30:05.537Z,147,
did:plc:xd22qmy4tuttdo2zfhqn3ssz,scrawlings.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:xd22qmy4tuttdo2zfhqn3ssz/bafkreigzbkr6vcn272ph2di5u245nrrjq4p67pnewa6xudm55vyfpkitw4@jpeg,"music, playing guitar, listening widely • art, illustration, sketching • science, history, economics • SFF, TTRPGs • software and the human problem of how to make it • progressive, green, left • gen-x, Naarm, he/him",Julian’s Scrawings,2024-11-14T04:36:59.616Z,2024-11-21T08:46:24.634Z,193,
did:plc:5huecvdrdgpahzpfsnhuoyvu,nathanfioritti.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:5huecvdrdgpahzpfsnhuoyvu/bafkreifleygjuxrhg2wnjabpqmapg5tygwyseztqastd6dgnjrorrzll3e@jpeg,"Researching/teaching at Melbourne, Monash and Flinders | PhD in comparative environmental politics https://www.nathanfioritti.org",Dr Nathan Fioritti,2023-12-11T23:12:58.482Z,2024-11-25T10:09:14.708Z,363,
